good                   metrik 2                       time
0.01758                647.38639               0.30971503257751465
0.00879                669.52334               0.044959068298339844
0.02418                678.47295               0.028972864151000977
0.03297                679.10483               0.1558551788330078
0.03187                679.14801               0.0499567985534668
0.02637                681.8311               0.041960716247558594
0.01099                677.11341               0.2542877197265625
0.02088                675.19565               0.09990739822387695
0.02527                674.45723               0.25401997566223145
0.01648                678.14826               0.027973413467407227
0.01868                682.88191               0.033974409103393555
0.01538                680.64631               1.3932385444641113
0.01538                677.66024               0.7354962825775146
0.01319                685.99979               0.0209810733795166
0.01758                683.4036               0.5819664001464844
0.01648                683.54691               0.11589312553405762
0.01758                684.34683               0.03596639633178711
0.01868                683.89878               0.0949106216430664
0.00769                688.75425               0.01798105239868164
0.01868                686.87443               0.24428319931030273
0.02308                688.88788               0.04196286201477051
0.02198                688.76565               0.05594682693481445
0.02418                687.06944               0.25726771354675293
0.02088                689.11259               0.028972864151000977
0.02088                688.73169               0.10290098190307617
0.01099                689.5962               0.02197885513305664
0.01429                688.71607               0.13087987899780273
0.01209                689.53497               0.029973506927490234
0.01538                688.93262               0.0949103832244873
0.01758                688.00193               0.10789752006530762
0.01648                688.39818               0.12439799308776855
0.01648                688.0329               0.06194186210632324
0.02198                686.74312               0.2247905731201172
0.01868                686.23688               0.10190415382385254
0.01319                687.29287               0.03196978569030762
0.01319                688.89136               0.030971765518188477
0.01319                689.35779               0.04595637321472168
0.01099                689.56692               0.05294942855834961
0.01538                691.36836               0.018982648849487305
0.01209                693.24386               0.01698446273803711
0.01868                694.13026               0.022980928421020508
0.01758                693.62753               0.0589444637298584
0.01758                693.44944               0.04695630073547363
0.01868                693.23651               0.051950931549072266
0.03077                693.53817               0.04395771026611328
0.01099                694.13228               0.03396797180175781
0.02198                694.80748               0.03795957565307617
0.00769                696.10457               0.01998114585876465
0.01429                696.03539               0.08991861343383789
0.01648                695.86074               0.06693673133850098
0.02088                695.73613               0.0569460391998291
0.01538                695.88058               0.35666728019714355
0.02637                694.86102               0.5175182819366455
0.02308                694.38343               0.08092498779296875
0.00879                693.37913               0.21130990982055664
0.01978                693.17043               0.034969329833984375
0.02308                692.89923               0.03596687316894531
0.00659                692.48991               0.10889720916748047
0.02088                692.83794               0.02797389030456543
0.01429                693.74487               0.02297806739807129
0.02637                693.12623               0.2227916717529297
0.01538                692.75956               0.04695582389831543
0.01978                692.66687               0.04147481918334961
0.02857                692.20396               0.07093358039855957
0.01209                692.94016               0.024976253509521484
0.01429                693.65827               0.019981861114501953
0.03516                695.09542               0.015987634658813477
0.01868                694.8862               0.06145000457763672
0.01429                694.70428               0.05095386505126953
0.01978                694.45509               0.052951812744140625
0.01758                693.97103               0.20280981063842773
0.02967                693.26935               0.6254184246063232
0.01758                693.53274               0.026974916458129883
0.02637                693.48006               0.034966468811035156
0.02088                693.53942               0.03396892547607422
0.03297                693.33714               0.05280327796936035
0.01429                692.84679               0.36966395378112793
0.02198                692.94091               0.035965919494628906
0.00989                693.10067               2.7190284729003906
0.01648                692.76095               2.7944459915161133
0.01868                692.33931               0.1488628387451172
0.01319                692.3902               0.05346274375915527
0.02198                692.18505               0.0649411678314209
0.02088                692.35182               0.02197742462158203
0.01978                692.70261               0.01998162269592285
0.01319                693.14076               0.020979642868041992
0.01758                693.19481               0.024975061416625977
0.01319                694.46182               0.0189816951751709
0.02198                694.24502               0.05095219612121582
0.01538                694.29398               0.03996562957763672
0.00989                695.11128               0.0169830322265625
0.02198                694.85445               0.06294131278991699
0.02088                694.87657               0.041957855224609375
0.01868                696.23661               0.01849532127380371
0.02418                696.49539               0.03097391128540039
0.01538                696.56128               0.050948381423950195
0.02088                696.30157               0.079925537109375
0.01319                698.04314               0.015984296798706055
0.02418                698.28274               0.023976802825927734
0.01648                698.15931               0.09191489219665527
0.02308                698.38179               0.03596687316894531
