good                   metrik 2                       time
0.01264                701.54252               0.4893770217895508
0.01042                714.51027               0.27874040603637695
0.0166                716.40859               0.28024816513061523
0.01429                714.28429               0.34368109703063965
0.02471                709.15833               0.42876648902893066
0.02597                704.89134               0.4495818614959717
0.02066                705.60664               0.395632266998291
0.03398                702.97386               0.420116662979126
0.02114                701.33721               0.35167384147644043
0.01998                698.98998               0.44509172439575195
0.01467                696.8578               0.46407556533813477
0.01641                696.1629               0.34766674041748047
0.01419                695.26631               0.4111361503601074
0.02597                693.82224               0.5265100002288818
0.01612                693.39594               0.45357799530029297
0.01699                692.24045               0.48255109786987305
0.01805                691.49168               0.5384995937347412
0.01313                692.67278               0.33519840240478516
0.00434                695.73165               0.2987215518951416
0.0083                700.28005               0.2842421531677246
0.00956                704.55938               0.14937353134155273
0.01805                708.15933               0.10141944885253906
0.0167                706.72605               0.4381124973297119
0.01708                706.27531               0.896693229675293
0.01236                706.44466               0.3406820297241211
0.0112                706.59893               0.5070652961730957
0.01342                706.12059               0.3676607608795166
0.04421                710.67959               0.1009054183959961
0.00994                712.92668               0.10990047454833984
0.03465                715.62121               0.28679966926574707
0                nan               0.375654935836792
0.0194                713.50827               1.31428861618042
0.01342                712.62947               0.9812586307525635
0.02037                711.02476               1.7265799045562744
0.01293                710.86444               0.6329398155212402
0.0166                709.76748               2.3348159790039062
0.01515                708.81751               1.1220238208770752
0.01544                711.91232               0.25376009941101074
0.05473                715.80183               0.2437734603881836
0.01429                716.71133               0.6681711673736572
0.01303                716.00171               1.2263989448547363
0.01612                714.77021               1.652574062347412
0.01313                714.02211               1.1861166954040527
0.01612                712.85573               1.2908411026000977
0.00985                713.85613               0.22832727432250977
0.01322                714.67699               0.26175522804260254
0.01631                713.96128               0.6843752861022949
0.01129                714.00256               0.8257496356964111
0.01255                713.7367               0.8332698345184326
0.00927                714.42222               0.7772762775421143
0.0082                714.86767               0.6304047107696533
0.00763                716.27453               0.7812747955322266
0.02124                715.185               1.3702454566955566
0.01458                714.55412               1.016955852508545
0.01052                715.31191               0.21180272102355957
0.01573                717.29212               0.2697446346282959
0.09778                721.28978               0.25076746940612793
0.12239                725.70354               0.2987101078033447
0.01815                726.32486               0.23877906799316406
0.01525                725.45679               2.0963778495788574
0.01757                724.85791               0.5979733467102051
0.02008                724.06048               1.2433536052703857
0.01091                724.01913               0.5634729862213135
0.01602                722.99707               0.653904914855957
0.01902                722.76355               1.556546688079834
0.01844                721.86271               2.815352201461792
0.01245                723.18169               1.1640183925628662
0.0167                722.49159               1.1394550800323486
0.01429                721.9626               0.954110860824585
0.01255                721.24277               1.1185722351074219
0.01921                720.27627               1.6714942455291748
0.01795                720.81679               0.8312973976135254
0.01062                720.68459               0.919170618057251
0.0167                720.27439               0.98130202293396
0.01245                720.02599               0.5789737701416016
0.03012                719.22419               0.8996748924255371
0.0168                718.4719               1.0160908699035645
0.01361                717.78578               2.782935619354248
0.01873                717.22278               1.156175136566162
0.01467                716.69813               0.437591552734375
0.01515                716.3256               0.445110559463501
0.02471                715.51511               0.586963415145874
0.01988                714.60333               0.9336745738983154
0.01371                715.37347               0.1218874454498291
0.01892                715.22997               0.15485572814941406
0.01236                715.89213               0.25276708602905273
0.01467                715.47578               0.7568259239196777
0.01612                715.04889               1.3264884948730469
0.01496                714.78087               0.504042387008667
0.01091                715.13645               0.3651747703552246
0.01332                714.78865               0.3911430835723877
0.01303                714.18713               1.334277629852295
0.01863                713.70214               0.6883602142333984
0.01486                713.05472               2.2663440704345703
0.011                713.51218               0.34567713737487793
0.01612                713.04821               0.45957183837890625
0.01564                712.82914               1.4243121147155762
0.01573                712.68398               0.903907060623169
0.01438                712.59301               1.0215747356414795
0.01892                712.61637               0.6823821067810059
0.0166                712.03449               1.3542518615722656
0.01795                711.42691               1.4981186389923096
0.01718                710.87341               1.4402167797088623
0.00849                711.35238               0.010989904403686523
0.00598                711.83558               0.9611525535583496
0.00907                712.00823               0.9772675037384033
0.00917                712.03937               1.1935324668884277
0.01158                712.21088               0.67637038230896
0.01853                711.70281               1.8882665634155273
0.0083                711.35969               7.869964599609375
0.01429                711.21933               0.7829244136810303
0.01805                710.94125               1.5396506786346436
0.01322                711.04242               0.6903994083404541
0.01747                710.81927               0.9352166652679443
